KCMO or Not,Census Tract,East-West Coordinate,North-South Coordinate,1940 Population,1950 Population,1960 Population,1970 Population,1980 Population,1990 Population,2000 Population,2010 Population,1940 Housing Units,1950 Housing Units,1960 Housing Units,1970 Housing Units,1980 Housing Units,1990 Housing Units,2000 Housing Units,2010 Housing Units,1970 Occupied Housing Units,1980 Occupied Housing Units,1990 Occupied Housing Units,2000 Occupied Housing Units,2010 Occupied Housing Units,1970 Vacant Housing Units,1980 Vacant Housing Units,1990 Vacant Housing Units,2000 Vacant Housing Units,2010 Vacant Housing Units,1970 Households,1980 Households,1990 Households,2000 Households,2010 Households,1970 Group Quarters Population,1980 Group Quarters Population,1990 Group Quarters Population,2000 Group Quarters Population,2010 Group Quarters Population
KCMO,601,2771674,971518,42,42,42,42,42,42,104,197,16,16,16,16,16,16,79,27,15,15,15,70,22,1,1,1,9,5,15,15,15,70,22,0,0,0,0,145
KCMO,202.01,2769244,1092055,1260,1873,3797,4322,4061,4193,4767,5004,397,590,1140,1469,1805,2210,2354,2488,1423,1709,1930,2238,2242,46,96,280,116,246,1423,1709,1930,2238,2242,29,16,0,3,0
KCMO,202.02,2761381,1095073,632,940,1905,2622,2373,2750,2906,3285,199,296,571,976,922,1114,1244,1597,859,880,1084,1202,1482,117,42,30,42,115,859,880,1084,1202,1482,0,0,11,0,5
KCMO,203,2768859,1100172,1279,1902,3855,5798,5411,5387,5213,5182,403,599,1136,1944,2193,2452,2501,2521,1881,2140,2301,2318,2230,63,53,151,183,291,1881,2140,2301,2318,2230,10,40,50,38,35
KCMO,204,2772599,1096332,627,932,1890,2416,2783,2483,2645,2465,197,294,602,992,1237,1248,1237,1234,856,1186,1143,1192,1102,136,51,105,45,132,856,1186,1143,1192,1102,0,0,0,0,0
KCMO,205,2775675,1091068,1594,2370,3931,5338,5496,5621,5517,5471,516,767,1236,1734,2219,2373,2401,2409,1691,2112,2250,2309,2230,43,107,123,92,179,1691,2112,2250,2309,2230,8,0,9,0,0
KCMO,206.02,2784444,1089531,305,453,1453,3094,3532,4155,3705,4098,87,129,415,899,1252,1696,1651,1928,891,1220,1605,1554,1761,8,32,91,97,167,891,1220,1605,1554,1761,0,0,0,0,35
KCMO,206.03,2786042,1100975,558,829,2658,4132,3650,3311,3347,3492,159,236,760,1183,1271,1251,1367,1442,1163,1224,1195,1297,1330,20,47,56,70,112,1163,1224,1195,1297,1330,29,26,19,9,0
KCMO,206.04,2784455,1094858,894,1328,4258,5263,4812,4500,4415,4706,255,379,1217,1494,1691,1732,1873,2073,1467,1642,1656,1799,1917,27,49,76,74,156,1467,1642,1656,1799,1917,0,0,0,0,0
KCMO,209.01,2778818,1102444,2011,2990,4961,5655,4867,5178,5620,5658,651,968,1374,1764,1891,2118,2336,2489,1728,1842,2037,2280,2347,36,49,81,56,142,1728,1842,2037,2280,2347,8,0,0,7,8
KCMO,209.02,2784672,1104550,413,614,1141,2652,2577,2414,2545,2369,133,200,316,751,844,875,1003,980,727,829,842,962,900,24,15,33,41,80,727,829,842,962,900,0,0,0,3,0
KCMO,212.04,2762188,1106934,541,805,1496,2125,3549,4163,5456,5092,175,262,432,744,1444,2021,2311,2310,636,1353,1765,2173,2138,108,91,256,138,172,636,1353,1765,2173,2138,0,1,0,0,0
KCMO,212.05,2776936,1125774,356,530,984,1560,2114,2578,4243,6511,115,173,285,429,780,1210,1747,2794,367,726,1056,1643,2578,62,54,154,104,216,367,726,1056,1643,2578,0,0,43,32,25
KCMO,212.06,2784088,1115749,368,548,1018,1618,2191,3975,4931,7118,119,178,294,445,807,1351,1807,2870,380,752,1287,1746,2766,65,55,64,61,104,380,752,1287,1746,2766,0,0,107,131,99
KCMO,212.07,2763681,1125277,133,198,368,523,874,1403,1760,2714,42,63,104,180,349,651,791,1222,154,327,571,748,1146,26,22,80,42,76,154,327,571,748,1146,0,0,0,0,0
KCMO,212.08,2763608,1116124,301,447,831,1180,1970,3162,3967,6134,98,147,242,417,809,1510,1833,2840,356,758,1323,1735,2664,61,51,187,99,176,356,758,1323,1735,2664,0,1,0,0,28
KCMO,213.03,2779171,1135652,126,188,349,387,860,661,784,3072,41,61,115,112,342,270,336,1141,102,315,256,313,1046,10,27,14,23,95,102,315,256,313,1046,0,0,0,0,0
KCMO,213.05,2766450,1140311,161,239,445,486,1651,3674,5280,7447,52,78,136,223,587,1196,1850,2649,199,550,1160,1761,2559,24,37,36,89,90,199,550,1160,1761,2559,0,0,119,153,179
KCMO,213.06,2766394,1132629,226,336,624,683,2317,4304,6414,6989,73,109,191,314,822,1533,2436,2879,281,770,1455,2325,2683,33,52,78,111,196,281,770,1455,2325,2683,0,0,0,0,0
KCMO,213.07,2793733,1115731,19,28,52,66,93,274,1636,5890,7,10,17,21,40,122,633,2426,19,36,111,596,2177,2,4,10,37,249,19,36,111,596,2177,0,0,0,0,0
KCMO,213.09,2793569,1125241,12,18,34,43,61,179,1071,3856,4,5,9,12,21,66,342,1310,10,19,60,322,1235,1,2,6,20,75,10,19,60,322,1235,0,0,0,0,0
KCMO,213.1,2792788,1135453,21,31,58,74,105,307,1835,6606,7,10,17,21,39,119,622,2381,19,35,109,585,2245,2,4,10,37,136,19,35,109,585,2245,0,0,0,0,0
KCMO,218.03,2798730,1136875,29,43,80,153,106,118,1863,5979,9,14,29,44,40,48,633,2122,40,36,47,614,2041,4,4,1,19,81,40,36,47,614,2041,0,8,0,0,3
KCMO,218.04,2793646,1146004,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
KCMO,219,2775608,1147156,16,24,45,39,152,148,161,355,5,8,16,11,62,53,62,152,10,58,51,58,136,1,4,2,4,16,10,58,51,58,136,0,0,0,0,0
KCMO,221,2764131,1082145,120,179,363,202,153,176,168,75,38,56,115,79,80,216,155,179,76,69,109,123,55,3,11,107,32,124,76,69,109,123,55,0,0,0,0,0
KCMO,222,2803122,1090453,235,350,650,5702,4744,4190,3760,3823,76,114,230,1422,1410,1411,1410,1447,1412,1385,1380,1370,1353,10,25,31,40,94,1412,1385,1380,1370,1353,2,0,0,0,0
KCMO,3,2768360,1073459,4241,3412,5063,2816,2025,2060,1522,1393,1487,1008,1559,1198,901,948,744,744,997,696,769,610,638,201,205,179,134,106,997,696,769,610,638,14,3,0,7,0
KCMO,6,2784899,1072648,6156,6241,5726,5041,4361,4141,4517,4674,1941,2054,2129,2070,2018,1976,1856,1773,1939,1877,1770,1665,1491,131,141,206,191,282,1939,1877,1770,1665,1491,12,0,0,1,6
KCMO,7,2782099,1072683,5309,5362,5021,4469,4023,3619,4123,4094,1599,1733,1819,1756,1718,1721,1578,1501,1668,1641,1477,1426,1260,88,77,244,152,241,1668,1641,1477,1426,1260,24,124,110,180,88
KCMO,8,2779472,1072740,5601,6017,5465,4941,4131,3797,4395,3978,1741,1984,1972,1858,1750,1744,1700,1577,1762,1605,1492,1511,1250,96,145,252,189,327,1762,1605,1492,1511,1250,30,20,16,30,11
KCMO,9,2776750,1072748,5340,6224,5334,4485,3632,3214,3515,3052,1753,2070,2018,2002,1740,1682,1466,1454,1785,1581,1332,1251,1065,217,159,350,215,389,1785,1581,1332,1251,1065,108,77,56,61,8
KCMO,10,2772717,1072525,4931,5647,5673,4440,3516,2907,3485,3218,1734,1842,1961,1810,1695,1674,1589,1505,1663,1480,1274,1357,1223,147,215,400,232,282,1663,1480,1274,1357,1223,241,112,73,41,0
KCMO,11,2762514,1068564,6661,6411,4634,2410,1948,1504,1901,1709,3109,2542,3485,1965,1837,1516,1481,1342,1628,1579,1177,1355,1087,337,258,339,126,255,1628,1579,1177,1355,1087,197,16,0,117,291
KCMO,18,2776132,1068929,7460,8773,7203,5518,3958,3435,3757,2966,2578,3146,2968,2577,2001,1679,1555,1415,2211,1670,1302,1288,948,366,331,377,267,467,2211,1670,1302,1288,948,110,68,75,80,138
KCMO,19,2781781,1068702,5993,6420,5799,4836,3943,3581,3578,3346,1887,2167,2240,2113,1861,1732,1572,1476,1903,1626,1425,1291,1142,210,235,307,281,334,1903,1626,1425,1291,1142,66,40,0,0,0
KCMO,20,2788601,1068210,3883,3957,3623,2985,2315,2240,2375,2336,1038,1132,1141,1066,1003,989,938,899,1008,924,883,810,743,58,79,106,128,156,1008,924,883,810,743,0,11,0,30,26
KCMO,21,2788354,1064385,5366,6072,5318,4833,4886,4779,4685,4280,1472,1861,1803,1797,1988,1963,1827,1763,1691,1822,1746,1621,1339,106,166,217,206,424,1691,1822,1746,1621,1339,1,0,0,0,0
KCMO,22,2782542,1064649,4480,4590,4540,4210,3589,3679,3572,2906,1319,1414,1518,1555,1583,1733,1558,1486,1468,1444,1502,1332,1078,87,139,231,226,408,1468,1444,1502,1332,1078,58,100,0,67,44
KCMO,23,2779474,1064782,5321,5808,5043,3807,2113,2052,2347,2159,1602,1757,1554,1329,853,909,937,907,1206,756,765,822,738,123,97,144,115,169,1206,756,765,822,738,11,0,8,40,35
KCMO,34,2781699,1060724,5888,5879,5718,4988,3956,3962,3837,3040,1770,1841,1931,1872,1702,1619,1492,1448,1717,1542,1418,1250,997,155,160,201,242,451,1717,1542,1418,1250,997,18,0,0,45,6
KCMO,37,2775168,1061038,4688,4839,4257,2982,2207,1672,1274,1008,1471,1488,1450,1151,953,826,629,595,1035,839,654,484,406,116,114,172,145,189,1035,839,654,484,406,50,81,83,96,10
KCMO,38,2775065,1058365,3869,4227,3900,3345,2181,2193,1917,1689,1167,1466,1422,1304,981,946,860,855,1166,853,824,720,646,138,128,122,140,209,1166,853,824,720,646,81,33,58,18,2
KCMO,43,2767217,1060030,9742,10391,7863,4225,2925,1961,2018,2168,3722,3986,3935,2644,1643,1281,1020,1199,1988,1329,824,843,1045,656,314,457,177,154,1988,1329,824,843,1045,172,244,204,323,288
KCMO,44,2764138,1060107,2371,3229,1739,1011,1030,970,1029,875,715,995,698,497,622,699,768,859,443,496,452,654,603,54,126,247,114,256,443,496,452,654,603,193,183,225,83,0
KCMO,46,2760055,1055203,3916,4266,3907,3720,3162,2720,2465,2501,1276,1370,1508,1573,1503,1475,1473,1427,1485,1424,1302,1260,1284,88,79,173,213,143,1485,1424,1302,1260,1284,83,94,23,63,57
KCMO,51,2766287,1053165,3094,3414,3062,2770,2256,2080,1958,1651,963,964,1354,1578,1480,1215,1123,879,1422,1189,1021,926,733,156,291,194,197,146,1422,1189,1021,926,733,212,191,193,134,100
KCMO,52,2769712,1055963,6485,6531,5586,4114,2623,1496,1483,1192,2672,2604,3048,2251,1662,791,641,632,1746,1101,559,528,541,505,561,232,113,91,1746,1101,559,528,541,190,59,226,316,73
KCMO,53,2769602,1053332,5419,5964,4974,4381,2398,1593,1606,1368,1958,2085,2437,2076,1026,778,731,699,1538,780,569,599,509,538,246,209,132,190,1538,780,569,599,509,110,21,19,37,25
KCMO,54,2772340,1055847,4932,5397,5494,3964,2162,1315,1230,903,1646,1880,1857,1487,899,691,621,588,1229,751,480,509,358,258,148,211,112,230,1229,751,480,509,358,118,27,34,9,40
KCMO,55,2772229,1053219,4558,4734,4639,3615,1927,1668,1228,886,1445,1597,1497,1173,716,668,538,494,1002,600,551,452,346,171,116,117,86,148,1002,600,551,452,346,36,0,0,0,0
KCMO,119,2797061,1058998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCMO,56.01,2774962,1055735,4870,4835,5221,4219,2974,2292,1878,1556,1492,1623,1554,1444,1174,1038,994,908,1252,999,898,782,647,192,175,140,212,261,1252,999,898,782,647,214,38,39,0,0
KCMO,56.02,2774853,1053102,3848,3821,4126,4046,3138,2476,1991,1457,1179,1283,1227,1122,957,879,828,788,1055,888,783,682,522,67,69,96,146,266,1055,888,783,682,522,16,0,7,8,7
KCMO,57,2777513,1054310,3904,3935,4749,4575,3696,3069,2773,2187,1189,1261,1416,1420,1339,1322,1237,1216,1362,1282,1178,1113,904,58,57,144,124,312,1362,1282,1178,1113,904,3,0,21,0,0
KCMO,58.01,2781882,1054170,1479,1800,4070,3842,3880,3753,2546,1844,439,547,1210,1397,1581,1572,1263,1040,1266,1380,1376,1040,849,131,201,196,223,191,1266,1380,1376,1040,849,127,178,78,21,0
KCMO,60,2777271,1049074,1756,2576,3263,2912,2480,2121,1849,1346,570,780,1040,996,937,896,838,821,947,881,806,748,615,49,56,90,90,206,947,881,806,748,615,0,0,0,0,0
KCMO,61,2775018,1048787,5705,5640,5947,6031,4662,3930,3404,2542,1616,1731,1701,1701,1568,1541,1443,1397,1630,1495,1392,1286,1018,71,73,149,157,379,1630,1495,1392,1286,1018,9,4,20,10,0
KCMO,63,2770686,1047648,4506,5734,5090,4617,3414,3267,2540,1676,1506,1927,2132,1949,1633,1517,1231,1245,1717,1390,1275,1045,758,232,243,242,186,487,1717,1390,1275,1045,758,33,0,6,13,25
KCMO,65,2767110,1050833,3582,3637,3201,2615,1927,2002,1759,1640,1176,1312,1394,1395,1156,1149,1066,1006,1243,904,947,843,817,152,252,202,223,189,1243,904,947,843,817,61,24,26,93,77
KCMO,66,2766069,1048237,3350,3664,3195,3033,2185,2155,1924,1735,1276,1361,1578,1761,1510,1479,1379,1218,1638,1289,1169,1133,984,123,221,310,246,234,1638,1289,1169,1133,984,181,139,144,109,96
KCMO,9808.02,2792499,1049142,0,0,0,58,4,2,5,0,0,0,0,18,2,1,3,0,18,2,1,3,0,0,0,0,0,0,18,2,1,3,0,0,0,0,0,0
KCMO,67,2765242,1050811,4048,4084,3461,3125,2928,2468,1882,1795,1512,1608,1862,1919,1921,1716,1179,1223,1748,1679,1309,992,1040,171,242,407,187,183,1748,1679,1309,992,1040,73,211,169,205,0
KCMO,69,2762773,1048360,3720,4545,2537,2392,1891,1662,1548,1213,1506,1825,1106,1355,1216,1156,1077,944,1267,1126,1039,1001,753,88,90,117,76,191,1267,1126,1039,1001,753,161,219,174,137,95
KCMO,71,2760028,1048567,4268,4981,4282,3877,3178,2796,2870,2847,1357,1751,1769,2004,1953,1912,1935,2128,1905,1864,1635,1778,1757,99,89,277,157,371,1905,1864,1635,1778,1757,2,0,0,0,67
KCMO,72,2760420,1044537,3982,3927,2613,2482,2149,2129,2001,1892,1462,1496,969,1027,1046,1203,1109,1086,1001,1005,1064,1041,974,26,41,139,68,112,1001,1005,1064,1041,974,0,0,0,0,0
KCMO,73,2762996,1046666,3132,3223,5264,4851,4270,3096,3068,2998,1418,1359,3461,3895,3694,3014,2928,2713,3538,3471,2523,2434,2209,357,223,491,494,504,3538,3471,2523,2434,2209,0,1,0,0,0
KCMO,74,2765230,1044257,4372,4416,6218,5606,4678,3942,3663,3538,1314,1380,2554,2640,2583,2425,2200,1704,2518,2413,2116,1838,1470,122,170,309,362,234,2518,2413,2116,1838,1470,320,442,181,376,497
KCMO,75,2769181,1044143,4846,4821,4644,4722,4363,3591,3004,2634,1368,1456,1568,1663,1523,1254,1097,1053,1574,1394,1041,960,820,89,129,213,137,233,1574,1394,1041,960,820,617,622,617,622,714
KCMO,76,2771812,1043965,4370,4459,4612,4811,4307,3709,2980,2205,1320,1364,1516,1514,1268,1237,1162,1164,1394,1203,1136,1036,848,120,65,101,126,316,1394,1203,1136,1036,848,50,85,92,6,75
KCMO,77,2774919,1043894,2632,2815,3356,3821,2862,2221,2096,1624,833,856,1076,1242,1099,1060,1018,901,1160,1032,937,920,699,82,67,123,98,202,1160,1032,937,920,699,16,0,0,8,11
KCMO,78.02,2779751,1040404,1808,2218,3184,3701,3071,2771,2605,2191,478,605,1010,1184,1061,1157,1166,1164,1108,987,1029,1083,958,76,74,128,83,206,1108,987,1029,1083,958,76,84,68,14,1
KCMO,79,2775514,1038583,4110,5093,6973,6458,5682,4827,4467,3681,1230,1475,2128,2060,1803,1769,1731,1770,1894,1691,1552,1543,1381,166,112,217,188,389,1894,1691,1552,1543,1381,208,246,280,266,178
KCMO,80,2771090,1038827,3758,3854,3833,4079,4388,3985,3606,2933,1108,1222,1303,1278,1481,1638,1619,1572,1183,1401,1431,1440,1297,95,80,207,179,275,1183,1401,1431,1440,1297,9,13,0,0,4
KCMO,81,2768956,1038986,3628,3548,3227,2969,3418,2865,2593,2223,1079,1148,1177,1170,1095,1073,1021,1014,1111,1036,966,929,866,59,59,107,92,148,1111,1036,966,929,866,6,8,0,0,0
KCMO,82,2766322,1039088,4795,4700,4348,3979,3219,2995,2926,2765,1426,1459,1479,1460,1433,1411,1428,1417,1426,1403,1340,1377,1345,34,30,71,51,72,1426,1403,1340,1377,1345,12,0,0,0,7
KCMO,83,2763675,1039225,3421,3286,3359,3533,2721,2469,2323,2275,929,901,936,1003,969,1002,974,973,985,949,967,954,928,18,20,35,20,45,985,949,967,954,928,41,10,0,0,0
KCMO,84,2760283,1039405,3603,3328,3546,3621,3010,2772,2760,2751,953,954,1017,1041,1041,1048,1046,1040,1019,1020,1020,1026,997,22,21,28,20,43,1019,1020,1020,1026,997,0,0,0,0,0
KCMO,124,2806883,1044897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCMO,85,2760146,1034368,3306,3395,4399,4218,3581,3372,3407,3383,881,1050,1368,1388,1394,1408,1390,1387,1370,1369,1352,1361,1340,18,25,56,29,47,1370,1369,1352,1361,1340,0,0,0,0,0
KCMO,86,2764786,1034020,6113,7323,7027,6649,5871,5572,5029,5015,1743,2225,2414,2540,2552,2537,2475,2451,2491,2492,2418,2409,2309,49,60,119,66,142,2491,2492,2418,2409,2309,10,242,271,133,122
KCMO,87,2770029,1033719,3105,3186,3071,3199,3963,3523,2971,2501,958,1011,1117,1269,1421,1418,1234,1192,1223,1347,1254,1124,1005,46,74,164,110,187,1223,1347,1254,1124,1005,204,163,106,47,31
KCMO,88,2775899,1033377,4021,5453,6702,6552,5523,5036,4385,3602,1145,1685,2238,2366,1939,1946,1858,1824,2202,1816,1680,1667,1449,164,123,266,191,375,2202,1816,1680,1667,1449,124,42,119,0,85
KCMO,89,2776317,1028931,1766,2164,3333,2969,2814,2471,2187,2139,513,641,1064,1056,941,928,922,996,1014,881,832,840,817,42,60,96,82,179,1014,881,832,840,817,9,0,0,0,79
KCMO,90,2769817,1028449,3069,4462,5550,5328,5623,5079,4876,4413,920,1341,1931,2051,1991,1977,1970,1963,1987,1886,1805,1807,1705,64,105,172,163,258,1987,1886,1805,1807,1705,90,63,0,21,7
KCMO,91,2764596,1029401,3950,5237,5548,4986,4269,4013,3779,3690,1165,1614,1905,1916,1902,1902,1865,1860,1886,1864,1829,1798,1772,30,38,73,67,88,1886,1864,1829,1798,1772,7,17,0,2,2
KCMO,92,2760029,1029461,3801,4027,4144,3807,3137,3008,2850,2795,1107,1275,1420,1419,1431,1443,1433,1414,1391,1392,1387,1378,1340,28,39,56,55,74,1391,1392,1387,1378,1340,6,0,0,0,0
KCMO,93,2759918,1024986,2731,3092,4287,3786,2794,2530,2447,2316,894,1012,1371,1371,1319,1292,1318,1373,1348,1294,1243,1262,1282,23,25,49,56,91,1348,1294,1243,1262,1282,231,107,140,111,75
KCMO,94,2764414,1024784,2827,3201,5496,5896,5134,4818,4560,4389,922,1044,1778,2290,2457,2593,2438,2595,2249,2354,2341,2244,2305,41,103,252,194,290,2249,2354,2341,2244,2305,227,265,260,264,103
KCMO,95,2769554,1022583,3672,4158,5112,4667,3885,3703,3874,3145,1118,1266,1672,1749,1729,1737,1669,1606,1701,1635,1507,1502,1244,48,94,230,167,362,1701,1635,1507,1502,1244,8,0,0,0,0
KCMO,96,2773682,1021744,1624,1839,2446,2248,2019,1873,1703,1719,458,519,791,739,807,779,722,779,704,733,703,606,644,35,74,76,116,135,704,733,703,606,644,11,0,0,41,0
KCMO,97,2768047,1018768,204,308,722,1443,1140,1673,1688,1473,62,100,416,641,646,885,899,868,639,614,797,805,693,2,32,88,94,175,639,614,797,805,693,0,1,0,62,0
KCMO,98,2763545,1018850,1117,1683,3947,4150,3954,3685,3448,3330,341,544,1187,1363,1752,1806,1798,1791,1344,1708,1689,1709,1650,19,44,117,89,141,1344,1708,1689,1709,1650,0,8,0,0,0
KCMO,99,2759854,1019070,949,1429,3351,3525,2714,2427,2176,2187,289,462,925,1129,1113,1157,1121,1117,1101,1103,1128,1084,1061,28,10,29,37,56,1101,1103,1128,1084,1061,43,22,11,2,2
KCMO,100.01,2759706,1012294,480,724,1697,2131,1626,1979,1848,1696,147,234,509,662,652,1035,1009,1067,630,634,976,940,909,32,18,59,69,158,630,634,976,940,909,0,0,68,89,42
KCMO,100.02,2763300,1012804,331,499,1170,1394,2973,3545,3595,3516,101,161,351,505,1612,2282,2394,2202,480,1557,2045,2170,1991,25,55,237,224,211,480,1557,2045,2170,1991,0,0,0,0,4
KCMO,101.03,2768892,1013029,355,534,1253,2971,2832,2658,2621,2080,108,173,408,1054,1127,1198,1190,1179,1044,1093,1113,1094,943,10,34,85,96,236,1044,1093,1113,1094,943,0,0,0,23,4
KCMO,101.05,2760183,1004944,234,353,828,3125,2715,3056,3475,3384,72,114,270,988,1110,1485,1760,1759,949,1034,1427,1694,1647,39,76,58,66,112,949,1034,1427,1694,1647,39,0,140,143,155
KCMO,102.01,2774315,1015184,419,632,1482,1497,2178,2260,2341,1784,128,204,395,495,967,1188,1067,1134,465,903,1093,1007,796,30,64,95,60,338,465,903,1093,1007,796,0,42,61,152,53
KCMO,102.03,2774326,1007278,369,556,1304,5719,5084,4373,4303,4251,113,180,348,1362,1505,1654,1640,1635,1334,1473,1573,1613,1538,28,32,81,27,97,1334,1473,1573,1613,1538,9,21,0,132,138
KCMO,102.04,2775379,1001590,869,1309,3070,4022,4054,4215,3823,4475,265,424,821,1136,1554,1891,1767,2158,1111,1499,1714,1677,1955,25,55,177,90,203,1111,1499,1714,1677,1955,0,0,0,3,4
KCMO,105,2791911,1041336,1772,2670,6261,6483,5835,5640,5239,4912,541,864,1693,1811,2058,2084,2079,2201,1782,2003,1931,1955,1969,29,55,153,124,232,1782,2003,1931,1955,1969,232,132,299,149,164
KCMO,106,2800483,1043369,619,932,2186,3902,3428,3129,3172,3221,189,302,592,1060,1250,1238,1334,1335,1051,1228,1208,1289,1250,9,22,30,45,85,1051,1228,1208,1289,1250,16,0,0,0,0
KCMO,107.02,2801530,1047374,522,786,1843,2141,2415,2911,2577,3523,159,254,583,722,1043,1437,1415,1749,698,965,1358,1219,1557,24,78,79,196,192,698,965,1358,1219,1557,0,0,0,12,0
KCMO,110,2796115,1072327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCMO,128.02,2804989,1018363,14,20,48,24,32,55,260,311,4,7,14,9,14,24,141,171,9,12,22,135,160,0,2,2,6,11,9,12,22,135,160,0,0,0,12,12
KCMO,129.03,2789858,1016696,304,458,1074,4599,4310,3840,3716,3596,93,148,319,1252,1403,1418,1444,1441,1223,1375,1380,1416,1335,29,28,38,28,106,1223,1375,1380,1416,1335,14,10,94,75,81
