KCMO or Not,Census Tract,East-West Coordinate,North-South Coordinate,1940 Population,1950 Population,1960 Population,1970 Population,1980 Population,1990 Population,2000 Population,2010 Population,1940 Housing Units,1950 Housing Units,1960 Housing Units,1970 Housing Units,1980 Housing Units,1990 Housing Units,2000 Housing Units,2010 Housing Units,1970 Occupied Housing Units,1980 Occupied Housing Units,1990 Occupied Housing Units,2000 Occupied Housing Units,2010 Occupied Housing Units,1970 Vacant Housing Units,1980 Vacant Housing Units,1990 Vacant Housing Units,2000 Vacant Housing Units,2010 Vacant Housing Units,1970 Households,1980 Households,1990 Households,2000 Households,2010 Households,1970 Group Quarters Population,1980 Group Quarters Population,1990 Group Quarters Population,2000 Group Quarters Population,2010 Group Quarters Population
Not,412,2748304,1076864,5389,6364,5647,4506,3209,2129,1650,1534,1636,1957,1770,1623,1236,1084,802,761,1489,1132,803,639,594,134,104,281,163,167,1489,1132,803,639,594,8,4,0,0,0
Not,413,2741745,1076418,5145,6076,5392,6028,5188,4989,4953,4710,1562,1868,1778,2253,2192,2166,2062,1948,2166,2070,1873,1799,1577,87,122,293,263,371,2166,2070,1873,1799,1577,36,15,0,5,17
Not,415,2740253,1071445,1469,1474,2483,2523,2384,2130,2470,2464,433,476,860,1027,1117,1074,1017,1007,1027,1078,949,931,822,0,39,125,86,185,1027,1078,949,931,822,24,14,23,58,8
Not,416,2744510,1073425,2409,2417,4071,4094,3645,3623,3922,4115,709,780,1412,1696,1654,1599,1582,1552,1696,1573,1472,1464,1350,0,81,127,118,202,1696,1573,1472,1464,1350,101,34,74,80,16
Not,417,2748346,1073484,2774,2783,4688,3524,2768,2752,2612,2522,817,898,1649,1502,1342,1246,1060,980,1359,1178,1027,870,784,143,164,219,190,196,1359,1178,1027,870,784,129,0,98,53,0
Not,418,2753081,1073970,1005,1008,1698,979,889,949,993,978,296,325,780,623,763,748,710,767,566,630,609,553,664,57,133,139,157,103,566,630,609,553,664,59,29,89,182,53
Not,419,2754288,1071376,2174,2181,3673,2648,2102,1845,1884,1845,640,704,1345,1113,1025,927,865,832,1017,924,803,722,691,96,101,124,143,141,1017,924,803,722,691,71,36,34,0,3
Not,420.01,2751503,1071992,1654,1659,2795,1982,1768,1704,1841,1703,487,536,1039,857,870,738,569,525,772,745,565,461,406,85,125,173,108,119,772,745,565,461,406,61,60,208,327,281
Not,420.02,2751581,1069587,1732,1737,2926,2836,2110,2042,2047,1947,510,561,1088,1098,1041,933,805,790,996,919,800,713,674,102,122,133,92,116,996,919,800,713,674,53,0,0,3,0
Not,421,2748301,1070055,2597,2606,4389,3550,2725,2526,2793,2801,765,841,1666,1434,1249,1150,1051,994,1335,1115,970,907,805,99,134,180,144,189,1335,1115,970,907,805,28,0,1,5,14
Not,422,2743169,1069182,4624,4674,2309,2067,1676,1547,1670,1937,1287,1438,813,785,726,699,669,634,785,690,629,599,558,0,36,70,70,76,785,690,629,599,558,57,0,0,0,6
Not,423,2748298,1067744,8585,8677,4287,3778,3665,3172,3595,3618,2390,2669,1534,1486,1633,1481,1389,1298,1389,1493,1273,1222,1111,97,140,208,167,187,1389,1493,1273,1222,1111,2,0,11,0,3
Not,424,2752254,1067055,7768,7851,3879,3240,2815,2571,2738,2692,2162,2415,1281,1161,1123,1010,904,887,1090,986,856,817,730,71,137,154,87,157,1090,986,856,817,730,68,227,213,0,24
Not,425.01,2755415,1066107,2740,2926,1473,498,19,207,4,61,757,830,469,140,63,141,6,1,129,10,139,3,0,11,53,2,3,1,129,10,139,3,0,0,0,0,0,61
Not,425.02,2745516,1064029,336,359,181,72,17,19,4,5,93,102,57,29,7,8,3,2,29,7,8,2,1,0,0,0,1,1,29,7,8,2,1,0,0,0,0,0
Not,426,2749826,1062233,9585,10236,5152,4745,3385,3252,3205,2858,2648,2902,1613,1683,1381,1223,1100,1022,1683,1234,1108,981,871,0,147,115,119,151,1683,1234,1108,981,871,12,0,26,0,0
Not,427,2739534,1057076,1220,1848,3556,4356,3531,3425,3408,3413,348,559,1191,1518,1404,1354,1291,1279,1473,1292,1192,1167,1148,45,112,162,124,131,1473,1292,1192,1167,1148,39,0,8,0,0
Not,428,2744006,1057375,3533,3585,3629,2793,3610,3547,3467,3337,1016,1088,1051,940,1396,1391,1370,1367,912,1329,1315,1277,1254,28,67,76,93,113,912,1329,1315,1277,1254,0,0,0,0,4
Not,430,2755797,1060413,1207,1225,1240,608,176,141,126,82,347,372,379,207,85,63,55,52,188,71,53,48,39,19,14,10,7,13,188,71,53,48,39,0,0,0,0,0
Not,433.01,2750718,1050355,2739,2953,2865,3310,3338,3467,3672,3882,813,909,930,1307,1625,2113,2058,2049,1237,1530,1755,1936,1746,70,95,358,122,303,1237,1530,1755,1936,1746,20,30,0,0,0
Not,434,2744451,1051065,1112,1684,3240,3004,2836,2476,2580,2134,317,509,899,947,1036,1008,1014,916,902,961,917,938,825,45,75,91,76,91,902,961,917,938,825,0,0,0,0,0
Not,435,2739535,1051085,836,1266,2436,2278,1820,1692,1599,1584,238,383,673,666,661,660,653,656,646,640,637,629,606,20,21,23,24,50,646,640,637,629,606,17,0,0,0,0
Not,436,2733261,1050405,2126,3220,6195,6514,6667,6781,6638,6580,606,974,1577,1737,2202,2397,2399,2414,1685,2120,2283,2318,2257,52,82,114,81,157,1685,2120,2283,2318,2257,7,0,0,0,0
Not,437,2735475,1057883,781,1182,2275,1929,2204,2128,2231,2240,223,358,660,587,809,808,841,869,569,783,778,807,787,18,26,30,34,82,569,783,778,807,787,2,0,0,0,0
Not,438.02,2716047,1055758,430,652,1254,1905,1720,1544,1424,1375,123,197,368,565,629,612,592,589,565,593,576,542,531,0,36,36,50,58,565,593,576,542,531,0,0,0,0,0
Not,438.03,2730540,1057567,943,1429,2749,2650,2731,2637,2880,2696,269,432,806,826,1010,1084,1112,1119,801,982,1022,1078,1041,25,28,62,34,78,801,982,1022,1078,1041,0,0,0,18,7
Not,438.04,2736865,1064072,55,56,57,110,33,23,14,8,16,17,17,47,14,8,7,6,46,11,7,5,4,1,3,1,2,2,46,11,7,5,4,0,0,0,0,0
Not,439.03,2734484,1076350,1104,1672,3216,4120,3292,3026,3026,3053,315,506,904,1280,1246,1262,1202,1145,1230,1194,1141,1109,1014,50,52,121,93,131,1230,1194,1141,1109,1014,0,0,0,0,0
Not,439.04,2725616,1076381,404,611,1176,3650,3446,3021,3015,2966,115,185,330,1112,1242,1289,1245,1345,1091,1182,1078,1102,1106,21,60,211,143,239,1091,1182,1078,1102,1106,108,0,0,0,0
Not,439.05,2728399,1070058,459,695,1338,2447,2901,2571,1711,1719,131,211,376,864,1155,1127,787,807,802,1115,1017,692,691,62,40,110,95,116,802,1115,1017,692,691,0,0,64,0,65
Not,440.01,2715258,1066998,842,1275,2453,3607,4416,3810,3732,3509,240,386,653,1036,1678,1456,1477,1485,1006,1589,1327,1408,1379,30,89,129,69,106,1006,1589,1327,1408,1379,0,0,0,0,0
Not,440.03,2712897,1058992,340,514,990,1662,2397,2891,2901,2826,97,156,264,524,910,1223,1267,1203,509,882,1090,1139,1120,15,28,133,128,83,509,882,1090,1139,1120,9,0,0,0,0
Not,440.04,2715583,1058031,195,296,569,893,1193,873,779,602,56,89,151,270,453,432,415,274,262,434,379,340,245,8,19,53,75,29,262,434,379,340,245,3,0,0,0,0
Not,441.01,2717817,1072151,68,102,197,621,785,937,1041,1150,19,31,52,226,331,404,406,501,220,313,365,390,445,6,18,39,16,56,220,313,365,390,445,0,0,0,0,0
Not,441.02,2712154,1072072,717,1086,2089,4692,4035,3457,3126,2931,204,328,550,1155,1173,1156,1148,1139,1129,1155,1116,1114,1057,26,18,40,34,82,1129,1155,1116,1114,1057,0,0,0,0,0
Not,441.03,2711322,1076388,281,425,818,2249,2345,2874,2853,2830,80,129,215,728,829,1160,1182,1228,685,802,1062,1144,1158,43,27,98,38,70,685,802,1062,1144,1158,84,137,257,219,209
Not,441.04,2718004,1076364,56,85,164,1242,2361,2678,3206,2640,16,26,43,371,1158,1627,1699,1700,361,1053,1342,1583,1281,10,105,285,116,419,361,1053,1342,1583,1281,0,0,0,0,0
Not,442.01,2711168,1081251,740,1120,2155,3728,4066,3916,3858,3881,211,339,608,1053,1381,1487,1508,1631,1033,1345,1422,1471,1552,20,36,65,37,79,1033,1345,1422,1471,1552,0,0,0,0,0
Not,442.02,2719066,1081220,686,1039,1999,4278,4125,3782,3584,3489,196,314,563,1212,1419,1441,1422,1425,1190,1380,1387,1383,1335,22,39,54,39,90,1190,1380,1387,1383,1335,1,0,0,0,0
Not,443.01,2726360,1085158,837,1268,2439,2451,2600,2537,2467,2300,239,383,677,735,1023,1095,1078,1083,726,974,1036,1014,957,9,49,59,64,126,726,974,1036,1014,957,0,148,77,76,79
Not,443.02,2726340,1082511,782,1184,2278,2680,2234,2161,1964,1870,223,358,632,753,811,816,812,814,743,794,792,748,714,10,17,24,64,100,743,794,792,748,714,73,0,70,57,40
Not,443.03,2726320,1079953,443,670,1290,2141,2782,2458,2500,2155,126,203,358,605,851,882,880,867,601,816,765,838,732,4,35,117,42,135,601,816,765,838,732,0,191,196,187,92
Not,444,2733143,1081151,1128,1708,3286,3486,3242,2913,3031,2959,322,517,984,1093,1233,1194,1181,1172,1079,1201,1130,1127,1068,14,32,64,54,104,1079,1201,1130,1127,1068,14,0,0,0,0
Not,445,2738061,1087764,924,1400,2693,3050,2850,2640,2324,2153,264,423,821,932,1001,1164,1055,1024,902,967,1038,966,890,30,34,126,89,134,902,967,1038,966,890,20,135,0,0,0
Not,446.01,2718707,1091133,1253,1898,3651,3414,3615,3221,2922,2729,357,574,1082,957,1229,1178,1148,1123,930,1196,1127,1096,1026,27,33,51,52,97,930,1196,1127,1096,1026,26,0,0,37,86
Not,446.02,2709269,1099041,22,33,63,0,41,34,0,0,6,10,19,0,13,11,0,0,0,11,11,0,0,0,2,0,0,0,0,11,11,0,0,0,0,0,0,0
Not,446.03,2732913,1093105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Not,447.02,2697625,1059028,644,976,1878,2025,3357,3981,4146,4340,184,295,557,595,1207,1521,1651,1716,578,1130,1438,1568,1632,17,77,83,83,84,578,1130,1438,1568,1632,72,191,191,198,184
Not,447.03,2694341,1076808,331,503,967,967,1370,1441,1622,1842,95,152,286,284,460,477,511,694,276,435,462,499,667,8,26,15,12,27,276,435,462,499,667,26,0,11,0,0
Not,447.04,2703695,1076980,184,279,535,527,714,1150,1518,1581,52,84,159,153,241,428,541,634,148,228,403,529,599,5,13,25,12,35,148,228,403,529,599,14,0,0,2,2
Not,448.03,2681849,1089783,221,335,642,701,1210,1744,2175,4958,63,101,189,204,397,572,767,1993,198,368,551,741,1857,6,28,21,26,136,198,368,551,741,1857,19,0,1,1,0
Not,448.04,2698693,1094650,260,394,759,817,1370,1480,1879,3839,74,119,225,239,451,506,643,1363,232,420,477,618,1291,7,31,29,25,72,232,420,477,618,1291,22,0,0,0,0
Not,448.05,2676629,1051422,390,591,1138,1119,1536,1718,2209,2576,112,179,337,334,536,615,831,981,324,485,560,767,921,10,51,55,64,60,324,485,560,767,921,29,0,0,0,0
Not,448.06,2685184,1063783,182,275,530,521,715,683,653,562,52,83,157,155,250,261,269,238,151,226,255,260,222,4,24,6,9,16,151,226,255,260,222,14,0,1,0,0
Not,449,2679044,1054605,1662,2518,4844,3806,4084,4085,3959,4201,474,762,1436,1192,1527,1663,1676,1824,1192,1420,1553,1586,1680,0,107,110,90,144,1192,1420,1553,1586,1680,105,152,136,46,42
Not,450,2750424,1054501,6586,6682,6765,5359,4867,4374,4089,3879,1893,2028,2197,1935,1863,1781,1657,1585,1832,1734,1604,1470,1392,103,129,177,187,193,1832,1734,1604,1470,1392,8,0,0,0,0
Not,451,2754539,1053977,1664,1794,1741,2496,2156,2147,2109,2152,494,552,566,958,1175,1305,1148,1168,907,1085,1099,997,1015,51,90,206,151,153,907,1085,1099,997,1015,43,0,0,0,0
Not,452,2757424,1052895,6380,6878,6673,4855,4169,4385,4543,3980,1894,2116,2167,1974,2156,2427,2380,2232,1868,2015,2133,2198,1897,106,141,294,182,335,1868,2015,2133,2198,1897,230,118,26,0,0
Not,9701,2862182,792914,6012,5397,4896,4761,4886,4625,5126,5248,1959,1962,1964,1997,2157,2088,2231,2286,1749,1876,1822,2004,2036,248,281,266,227,250,1749,1876,1822,2004,2036,45,77,90,86,73
Not,9702,2794306,764474,5053,4536,4115,4002,4107,3887,4309,4411,1647,1649,1651,1679,1813,1755,1875,1971,1470,1577,1531,1685,1695,209,236,224,190,276,1470,1577,1531,1685,1695,38,64,76,72,0
Not,9703,2835817,762347,5178,4649,4217,4101,4208,3983,4415,4520,1687,1690,1691,1720,1858,1798,1921,2182,1506,1616,1569,1726,1860,214,242,229,195,322,1506,1616,1569,1726,1860,39,66,77,74,215
Not,9704,2866450,716499,3288,2952,2677,2604,2672,2529,2803,2870,1071,1073,1074,1092,1180,1142,1220,1403,956,1026,996,1096,1153,136,154,145,124,250,956,1026,996,1096,1153,25,42,49,47,23
Not,9501,2964244,1270985,3627,3096,2754,2604,2701,2613,2797,2939,1184,1176,1131,1082,1202,1138,1401,1446,964,1029,1005,1099,1189,118,173,133,303,257,964,1029,1005,1099,1189,50,33,60,37,28
Not,9502,2905187,1271125,8002,6833,6076,5747,5959,5767,6172,6485,2611,2596,2496,2388,2653,2511,3092,3159,2127,2272,2217,2424,2487,261,381,294,667,672,2127,2272,2217,2424,2487,109,73,133,82,186
Not,600.01,2768721,969377,732,724,1113,1478,2376,3083,4016,4188,254,271,393,525,916,1254,1581,1714,486,856,1156,1523,1604,40,59,98,58,110,486,856,1156,1523,1604,2,0,0,0,3
Not,600.03,2787014,966292,580,574,882,1172,1884,2445,3185,3354,208,221,322,430,749,1026,1322,1365,397,700,946,1233,1298,32,49,80,88,67,397,700,946,1233,1298,2,0,0,75,0
Not,600.04,2785173,969185,1003,993,1526,2026,3257,4227,5506,5799,342,364,530,707,1232,1688,2175,2246,654,1152,1556,2030,2079,53,80,132,146,167,654,1152,1556,2030,2079,3,0,0,130,0
Not,601,2774211,971081,1514,1498,2324,3101,786,2265,1988,1506,293,313,462,622,597,628,616,608,572,213,612,601,484,50,384,16,15,124,572,213,612,601,484,544,3,0,0,0
Not,602.02,2768414,959473,1383,1368,2104,2793,2847,3411,4013,4711,388,414,602,803,950,1216,1506,1926,757,892,1144,1419,1787,46,58,72,87,139,757,892,1144,1419,1787,10,32,124,52,0
Not,603.01,2794542,965841,277,274,421,559,1864,2996,5030,9147,85,91,132,176,640,1099,1995,3706,169,584,1068,1946,3411,7,56,31,49,295,169,584,1068,1946,3411,3,20,42,167,107
Not,603.02,2808793,957402,347,343,527,700,2338,3757,6308,7642,107,114,165,221,803,1378,2300,2971,212,733,1339,2219,2816,9,70,39,81,155,212,733,1339,2219,2816,4,25,53,11,125
Not,603.05,2795096,948984,104,103,158,210,702,1128,1894,4416,32,34,49,66,239,411,638,1592,63,218,399,616,1548,3,21,12,22,44,63,218,399,616,1548,1,8,16,0,0
Not,604,2832655,956457,521,516,793,1053,1698,2246,3399,4442,173,184,268,358,572,819,1257,1790,325,544,791,1223,1691,33,28,28,34,99,325,544,791,1223,1691,0,0,0,0,0
Not,605,2872318,947177,785,776,1193,1585,2099,2083,2462,2967,275,292,425,567,734,790,916,1138,496,690,742,886,1072,71,44,48,30,66,496,690,742,886,1072,0,0,0,0,6
Not,606,2856041,956612,1682,1664,2557,3396,3301,3974,5737,7972,586,623,906,1209,1335,1612,2266,3141,1143,1262,1474,2129,2926,66,73,138,137,215,1143,1262,1474,2129,2926,8,18,76,80,88
Not,607,2872542,896817,1220,1207,1855,2464,2999,3240,3683,3745,402,428,622,830,1088,1221,1431,1550,775,1010,1153,1361,1419,55,78,68,70,131,775,1010,1153,1361,1419,14,0,0,0,0
Not,608,2813599,906026,1116,1104,1697,2255,3241,3616,5368,5946,340,361,525,702,1089,1302,1986,2353,629,1012,1224,1910,2234,72,77,78,76,119,629,1012,1224,1910,2234,49,5,0,9,115
Not,609.04,2832989,909399,909,899,1382,1835,2373,2835,2951,3169,344,366,533,711,970,1179,1248,1354,671,925,1110,1179,1242,40,45,68,69,112,671,925,1110,1179,1242,21,73,135,140,115
Not,610.01,2776052,932777,738,730,1122,1490,2561,3212,4116,4591,235,250,363,485,853,1162,1527,1785,447,810,1112,1470,1690,37,42,50,57,95,447,810,1112,1470,1690,4,0,0,0,0
Not,610.02,2804933,925749,850,841,1292,1716,2950,3700,4742,6423,270,287,419,558,982,1339,1713,2518,516,934,1282,1661,2360,43,49,57,52,158,516,934,1282,1661,2360,5,0,0,2,16
Not,611,2787252,876165,1398,1383,2126,2823,3542,3869,4433,4133,524,557,810,1081,1309,1517,1746,1816,911,1215,1385,1627,1626,170,94,132,119,190,911,1215,1385,1627,1626,0,0,0,3,0
Not,612,2865320,852291,1182,1169,1797,2387,2799,2841,3363,3983,415,442,642,857,1122,1174,1361,1629,774,994,1081,1276,1497,83,128,93,85,132,774,994,1081,1276,1497,0,0,0,0,0
Not,613,2786059,953108,1620,1602,2463,3270,3372,4062,4824,5837,507,541,785,1048,1254,1614,2010,2638,988,1176,1520,1895,2331,60,77,94,115,307,988,1176,1520,1895,2331,12,38,146,61,109
Not,614,2831631,902806,1531,1515,2328,3092,3998,4776,4971,5310,553,588,855,1141,1558,1893,2003,2163,1077,1486,1783,1893,2013,63,72,110,110,150,1077,1486,1783,1893,2013,36,123,228,236,215
Not,202.02,2763183,1096708,0,0,0,312,72,450,404,400,0,0,0,3,31,151,173,193,3,23,144,169,183,0,8,7,4,10,3,23,144,169,183,0,0,0,0,0
Not,203,2764257,1100151,107,159,296,317,586,536,680,745,35,52,88,111,193,206,286,313,99,187,203,278,303,12,6,3,8,10,99,187,203,278,303,0,8,0,0,0
Not,205,2775993,1088274,240,357,663,748,612,550,529,440,77,116,207,247,230,228,224,226,242,221,219,219,199,5,9,9,5,27,242,221,219,219,199,0,0,0,0,0
Not,206.02,2779861,1086277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Not,208.01,2799544,1113230,1100,1636,3040,4680,4978,6064,6509,6287,355,533,925,1490,2004,2520,2814,2900,1451,1908,2363,2707,2670,39,96,157,107,230,1451,1908,2363,2707,2670,6,0,76,128,94
Not,210.01,2767635,1105624,1168,1736,3226,3767,3774,3596,3574,3562,377,566,873,1267,1666,1704,1753,1825,1230,1572,1594,1657,1619,37,94,110,96,206,1230,1572,1594,1657,1619,1,7,0,0,0
Not,210.03,2777526,1105563,996,1482,2753,3511,3947,4210,4190,3846,326,489,756,1040,1506,1710,1818,1815,1018,1449,1627,1763,1702,21,57,83,55,113,1018,1449,1627,1763,1702,0,71,160,128,36
Not,210.04,2772967,1105904,798,1186,2205,2811,3160,3371,3356,3080,253,380,586,806,1169,1327,1411,1408,790,1124,1262,1368,1300,17,45,65,43,108,790,1124,1262,1368,1300,0,56,128,102,0
Not,211.01,2767675,1112558,1021,1517,2817,5488,5748,5017,5064,4552,329,496,782,1684,2151,2181,2310,2209,1630,2085,2082,2222,2003,54,66,99,88,206,1630,2085,2082,2222,2003,8,9,0,0,0
Not,211.02,2774968,1110739,960,1426,2650,5164,5407,6280,6370,6461,308,465,735,1559,2001,2758,2980,3181,1508,1939,2609,2877,2909,51,62,149,103,272,1508,1939,2609,2877,2909,8,8,33,49,6
Not,211.03,2774991,1115087,624,928,1725,3369,3520,3708,3629,3641,202,303,478,1015,1317,1412,1581,1590,982,1277,1374,1530,1535,33,40,38,51,55,982,1277,1374,1530,1535,5,6,0,0,0
Not,213.09,2802427,1125181,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,53,0,0,0,0,52,0,0,0,0,1,0,0,0,0,52,0,0,0,0,0
Not,214.01,2811340,1127543,764,1135,2110,2327,2795,3453,4381,4809,246,370,656,724,825,1019,1362,1446,693,753,933,1294,1335,31,72,86,68,111,693,753,933,1294,1335,584,976,994,881,1153
Not,214.03,2810871,1120317,773,1149,2136,2595,2748,3102,3208,3022,265,398,706,937,1154,1385,1459,1461,906,1101,1300,1386,1322,30,53,85,73,139,906,1101,1300,1386,1322,15,76,85,93,17
Not,214.04,2806836,1124468,1093,1625,3020,3669,3884,4384,4534,4272,337,506,897,1190,1466,1759,1854,1856,1152,1398,1651,1761,1729,39,68,108,93,127,1152,1398,1651,1761,1729,21,107,119,132,158
Not,216,2841271,1122123,706,1050,1952,2451,3552,3856,6629,8254,228,342,712,758,1225,1400,2451,3027,712,1135,1315,2342,2888,46,90,85,109,139,712,1135,1315,2342,2888,145,91,29,0,8
Not,217.01,2859141,1163539,1448,2153,4001,4390,4949,4959,5206,5303,436,655,1363,1502,1857,1863,1973,2125,1389,1665,1705,1823,1991,113,191,158,150,134,1389,1665,1705,1823,1991,229,217,255,293,175
Not,217.02,2862977,1156679,1760,2616,4863,5335,6014,6028,6328,6446,599,899,1872,2065,2551,2561,2710,2921,1909,2289,2343,2504,2545,156,263,218,206,376,1909,2289,2343,2504,2545,278,263,311,356,397
Not,218.03,2806565,1137700,61,90,168,233,444,581,910,1151,19,29,60,76,146,199,317,411,71,137,191,308,397,5,8,7,9,14,71,137,191,308,397,0,1,7,0,0
Not,218.04,2814779,1171086,350,520,966,1347,2561,3351,5252,6639,113,170,353,444,855,1164,1856,2410,417,806,1123,1805,2316,27,49,41,51,94,417,806,1123,1805,2316,0,8,40,0,8
Not,218.05,2832088,1151152,443,658,1224,1706,3244,4244,6651,8079,134,201,418,525,1011,1376,2235,2870,493,952,1327,2148,2768,32,58,49,88,102,493,952,1327,2148,2768,0,10,50,70,0
Not,218.06,2847584,1181645,204,304,564,786,1495,1956,3066,3724,75,113,235,295,567,773,1255,1611,277,535,745,1205,1503,18,33,28,49,108,277,535,745,1205,1503,0,4,23,32,59
Not,219,2778240,1172638,188,279,519,1010,870,1336,3246,5636,61,91,190,338,296,469,1157,2035,317,278,446,1119,1961,21,18,23,38,74,317,278,446,1119,1961,0,0,0,0,0
Not,220,2768997,1172555,535,795,1478,2066,2130,2474,3845,4745,173,259,539,698,860,1008,1623,1975,681,814,956,1492,1853,17,46,52,131,122,681,814,956,1492,1853,96,83,76,102,88
Not,221,2768894,1082803,2047,3043,5657,5183,4501,4123,4714,4208,660,992,2175,2319,2625,2612,2779,2565,2266,2522,2392,2546,2361,53,103,220,233,204,2266,2522,2392,2546,2361,23,0,16,8,0
Not,222,2801065,1077204,93,138,257,292,258,219,210,235,30,45,92,78,87,84,90,111,77,84,78,82,99,1,3,7,7,12,77,84,78,82,99,0,0,0,0,0
Not,223.01,2809802,1106816,215,320,594,1338,1588,2115,2545,3014,76,115,200,397,573,845,1049,1305,390,556,794,999,1205,7,17,51,50,100,390,556,794,999,1205,37,22,69,58,0
Not,223.02,2798081,1107532,407,606,1126,2568,3058,4085,4920,5834,125,188,325,658,953,1412,1754,2185,647,926,1327,1671,2098,11,28,85,83,87,647,926,1327,1671,2098,71,44,133,112,30
Not,9601,2859473,1295670,3261,2883,2850,3064,3914,4081,4667,5252,1065,1073,1081,1155,1504,1613,1990,2242,1055,1368,1503,1764,1963,100,136,110,226,279,1055,1368,1503,1764,1963,28,2,84,208,279
Not,9602,2848864,1250681,4428,3916,3870,4162,5315,5542,6338,6686,1446,1457,1469,1569,2043,2190,2646,2896,1433,1858,2041,2372,2585,136,185,149,274,311,1433,1858,2041,2372,2585,38,3,114,53,0
Not,9603,2815613,1250767,2944,2604,2573,2767,3534,3685,4214,4348,961,969,977,1043,1358,1456,1750,1912,953,1235,1357,1614,1701,91,123,99,136,211,953,1235,1357,1614,1701,25,2,76,84,99
